INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,28-Apr-22,0,XX,36011,36194.25,35761.05,36090.65,36090.65,137819,1241504.19,1125425,-333700,27-Apr-22
FUTIDX,BANKNIFTY,26-May-22,0,XX,36099.9,36218.95,35786.65,36110.9,36110.9,70520,635576.47,2077550,424250,27-Apr-22
FUTIDX,BANKNIFTY,30-Jun-22,0,XX,36200,36341.2,35932.7,36224.6,36224.6,4217,38132.83,128600,17125,27-Apr-22
FUTIDX,FINNIFTY,31-May-22,0,XX,16699,16699,16500,16610,16610,22,146.27,1720,360,27-Apr-22
FUTIDX,FINNIFTY,28-Jun-22,0,XX,0,0,0,16850.05,16677.7,0,0,0,0,27-Apr-22
FUTIDX,FINNIFTY,26-Jul-22,0,XX,0,0,0,16983.85,16732.15,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,2-May-22,0,XX,0,0,0,7530,7251.25,0,0,75,0,27-Apr-22
FUTIDX,MIDCPNIFTY,10-May-22,0,XX,0,0,0,6721.4,7257.8,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,17-May-22,0,XX,0,0,0,6981.6,7263.55,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,24-May-22,0,XX,0,0,0,7209.4,7269.3,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,31-May-22,0,XX,7270.05,7272.05,7080.45,7200,7275.9,7,37.91,1050,225,27-Apr-22
FUTIDX,MIDCPNIFTY,7-Jun-22,0,XX,0,0,0,7654.85,7281.85,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,14-Jun-22,0,XX,0,0,0,7566.2,7287.8,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,21-Jun-22,0,XX,0,0,0,7355.5,7293.75,0,0,0,0,27-Apr-22
FUTIDX,MIDCPNIFTY,28-Jun-22,0,XX,7232.1,7353.8,7232.1,7353.8,7299.7,2,10.93,75,-75,27-Apr-22
FUTIDX,MIDCPNIFTY,26-Jul-22,0,XX,0,0,0,7401.9,7323.5,0,0,0,0,27-Apr-22
FUTIDX,NIFTY,28-Apr-22,0,XX,17078,17114.5,16957.85,17053.8,17053.8,214333,1826867.09,4206600,-1910250,27-Apr-22
FUTIDX,NIFTY,26-May-22,0,XX,17130,17135,16982.25,17080.95,17080.95,129110,1102249.34,6328550,1525250,27-Apr-22
FUTIDX,NIFTY,30-Jun-22,0,XX,17021.7,17163.7,17020,17111.4,17111.4,8014,68541.11,1531900,45850,27-Apr-22
FUTSTK,AARTIIND,28-Apr-22,0,XX,889.9,893.45,869.25,878.6,878.6,1114,8312.64,595850,-314500,27-Apr-22
FUTSTK,AARTIIND,26-May-22,0,XX,849.3,892.15,849.3,881.2,881.2,1758,13138.29,2004300,534650,27-Apr-22
FUTSTK,AARTIIND,30-Jun-22,0,XX,880.25,883.4,875,882.2,882.2,27,201.84,57800,9350,27-Apr-22
FUTSTK,ABB,28-Apr-22,0,XX,2074,2100.1,2040,2088.45,2088.45,642,3322.01,90250,-73500,27-Apr-22
FUTSTK,ABB,26-May-22,0,XX,2092.3,2107.05,2045.55,2093.95,2093.95,730,3789.53,223250,57250,27-Apr-22
FUTSTK,ABB,30-Jun-22,0,XX,0,0,0,2180.9,2100.25,0,0,0,0,27-Apr-22
FUTSTK,ABBOTINDIA,28-Apr-22,0,XX,17561.6,17561.6,17378.05,17447.6,17447.6,498,2172.06,10200,-6625,27-Apr-22
FUTSTK,ABBOTINDIA,26-May-22,0,XX,17612.9,17632.05,17434,17505.55,17505.55,584,2554.96,23650,7525,27-Apr-22
FUTSTK,ABBOTINDIA,30-Jun-22,0,XX,17550,17550,17550,17550,17543.05,1,4.38,625,0,27-Apr-22
FUTSTK,ABCAPITAL,28-Apr-22,0,XX,114,122.15,114,120.7,120.7,2724,14296.61,5007200,-5002800,27-Apr-22
